City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Yarada,IN,86.32,overcast clouds,17.65,83.2667,Jeevan
11,Bosaso,SO,86.25,broken clouds,11.2842,49.1816,Red Sea Hotel
12,Auki,SB,80.91,overcast clouds,-8.7676,160.7034,Auki Motel
16,Avarua,CK,80.65,light rain,-21.2078,-159.775,Paradise Inn
18,Hasaki,JP,82.18,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
22,Myrtle Beach,US,78.12,broken clouds,33.6891,-78.8867,Bay View Resort Myrtle Beach
27,Manokwari,ID,81.48,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
32,Laguna,US,80.94,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
38,Hithadhoo,MV,83.97,overcast clouds,-0.6,73.0833,Scoop Guest House
43,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
50,Puerto Madero,MX,80.8,few clouds,14.7208,-92.4215,Hotel La Central
51,Villa Bruzual,VE,80.87,overcast clouds,9.3328,-69.1208,Edificio Guarente
54,Hilo,US,85.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
55,Belmonte,BR,75.7,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
64,Tual,ID,78.58,moderate rain,-5.6667,132.75,Grand Vilia Hotel
66,Biltine,TD,81.82,scattered clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
69,Kochi,IN,78.78,overcast clouds,9.9399,76.2602,Hotel Abad
70,Tateyama,JP,80.15,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
71,Alugan,PH,85.77,clear sky,12.2188,125.4808,JM Lodge
72,Yining,CN,75.25,broken clouds,29.0361,114.5636,Xiushui Hotel
74,Beyneu,KZ,77.94,clear sky,45.3167,55.2,NUR
76,Samarai,PG,81.21,overcast clouds,-10.6167,150.6667,Nuli Sapi
77,Sao Joao Da Barra,BR,75.6,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
82,Bengkulu,ID,81.68,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
90,Westport,US,76.98,broken clouds,41.1415,-73.3579,The Westport Inn
92,Padang,ID,82.45,scattered clouds,-0.9492,100.3543,Mercure Padang
94,Cockburn Town,TC,77.99,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
98,Gizo,SB,81.95,moderate rain,-8.103,156.8419,Imagination Island
99,Mogadishu,SO,78.55,few clouds,2.0371,45.3438,Hotel Juba
102,Santa Isabel Do Rio Negro,BR,75.02,scattered clouds,-0.4139,-65.0192,Hotel GSA
105,Kapaa,US,82.38,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
106,Pundaguitan,PH,83.16,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
109,Zaranj,AF,84.54,overcast clouds,30.9667,61.8833,غزنوی هوتل
117,Atuona,PF,80.55,few clouds,-9.8,-139.0333,Villa Enata
122,Emerald,AU,76.33,clear sky,-23.5333,148.1667,The Irish Village
123,Stratford,US,75.42,broken clouds,41.1845,-73.1332,Holiday Inn Bridgeport-Trumbull-Fairfield
133,Cabo San Lucas,MX,82.81,scattered clouds,22.8909,-109.9124,Tesoro Los Cabos
135,Cantagallo,CO,77.02,light rain,7.376,-73.9196,Apartahotel Altamira
137,San Joaquin,US,79.18,clear sky,37.9333,-121.3011,University Plaza Waterfront Hotel
142,Lorengau,PG,85.91,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
144,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
146,Cape Coast,GH,79.3,overcast clouds,5.1053,-1.2466,Samrit Hotel
165,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
167,Qui Nhon,VN,86.61,broken clouds,13.7667,109.2333,Hoang Yen Canary Hotel
173,Georgetown,MY,85.89,few clouds,5.4112,100.3354,Cititel Penang
174,Douglas,US,76.87,scattered clouds,41.3,-96.167,Hilton Garden Inn Omaha West
185,Gadsden,US,77.63,clear sky,34.0143,-86.0066,Hampton Inn Gadsden
186,Conde,BR,76.46,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
188,Labrea,BR,75.0,broken clouds,-7.2586,-64.7981,Hotel Novo Horizonte
197,Kirakira,SB,80.02,overcast clouds,-10.4544,161.9205,SanBiz Lodge
198,Tautira,PF,84.22,broken clouds,-17.7333,-149.15,Pension Oaoa
199,Kavaratti,IN,83.34,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
200,Jambi,ID,83.08,overcast clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
201,Tabou,CI,79.86,scattered clouds,4.423,-7.3528,hotêl doufoulougou
202,Port Blair,IN,83.59,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
205,Atambua,ID,82.22,scattered clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
207,Pattani,TH,85.71,overcast clouds,6.75,100.4167,Tobias Kleeberg
208,Mayo,US,84.36,clear sky,38.8876,-76.5119,Resorts Resource Group International
210,Lodwar,KE,79.77,few clouds,3.1191,35.5973,Solmar Gracious Hotel
212,Tanete,ID,81.05,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
214,Amahai,ID,76.66,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
217,Ullal,IN,81.55,few clouds,12.8,74.85,AK INTERNATIONAL LODGE
218,Fare,PF,81.19,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
222,Pringsewu,ID,83.35,overcast clouds,-5.3582,104.9744,Urban Style by Front One
224,Yanam,IN,84.6,overcast clouds,16.7333,82.2167,The Regency Hotel
226,Bud,US,77.34,scattered clouds,39.447,-86.1758,Ted McQuinn Trust
228,Umm Lajj,SA,78.21,clear sky,25.0213,37.2685,Moon light Furnished Units
238,Manicore,BR,78.91,overcast clouds,-5.8092,-61.3003,Hotel Durval
239,Naze,JP,78.04,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
240,Diu,IN,83.21,clear sky,20.7141,70.9822,Hotel Relax Inn
243,Sao Jose Da Coroa Grande,BR,77.68,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
250,Tarakan,ID,80.1,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
252,Key Largo,US,77.0,few clouds,25.0865,-80.4473,Bayside Inn Key Largo
253,Alofi,NU,79.97,light rain,-19.0595,-169.9187,Taloa Heights
259,Bandarbeyla,SO,80.11,few clouds,9.4942,50.8122,JABIR HOTEL
268,Kailua,US,84.18,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
270,Katsuura,JP,82.24,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
273,Pangai,TO,78.98,light rain,-19.8,-174.35,Ha'apai Beach Resort
275,Andros Town,BS,75.16,scattered clouds,24.7,-77.7667,Hanks place
