City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Jamestown,US,2021-05-24 03:22:24,42.097,-79.2353,65.52,94,90,4.61
1,Rikitea,PF,2021-05-24 03:21:17,-23.1203,-134.9692,74.95,74,37,4.36
2,Kolosovka,RU,2021-05-24 03:22:24,56.4678,73.611,66.31,67,67,8.1
3,Soyo,AO,2021-05-24 03:22:25,-6.1349,12.3689,76.91,89,86,6.58
4,Tigil,RU,2021-05-24 03:22:25,57.8,158.6667,47.77,50,4,18.32
5,Port Macquarie,AU,2021-05-24 03:20:20,-31.4333,152.9167,66.88,56,26,6.22
6,Vao,NC,2021-05-24 03:22:25,-22.6667,167.4833,71.53,57,13,15.23
7,Hermanus,ZA,2021-05-24 03:22:26,-34.4187,19.2345,62.92,49,100,7.05
8,Wajima,JP,2021-05-24 03:22:26,37.4,136.9,79.48,68,0,11.92
9,Arcachon,FR,2021-05-24 03:22:26,44.5875,-1.0519,53.65,94,0,3.44
10,Buluang,PH,2021-05-24 03:22:27,13.3068,123.3425,89.62,57,18,3.02
11,Iqaluit,CA,2021-05-24 03:22:27,63.7506,-68.5145,17.33,72,90,5.99
12,Bluff,NZ,2021-05-24 03:22:27,-46.6,168.3333,49.8,63,98,8.37
13,Merauke,ID,2021-05-24 03:22:28,-8.4667,140.3333,85.08,63,47,12.35
14,Tuburan,PH,2021-05-24 03:22:28,6.6439,122.2736,82.49,68,13,2.82
15,College,US,2021-05-24 03:18:21,64.8569,-147.8028,58.46,34,20,5.75
16,Punta Arenas,CL,2021-05-24 03:22:28,-53.15,-70.9167,39.31,70,75,7.78
17,Oistins,BB,2021-05-24 03:22:29,13.0667,-59.5333,80.69,65,75,19.57
18,Albany,US,2021-05-24 03:21:39,42.6001,-73.9662,58.53,61,94,6.73
19,Mar Del Plata,AR,2021-05-24 03:22:29,-38.0023,-57.5575,53.13,54,20,1.01
20,Sivas,TR,2021-05-24 03:22:29,39.7916,37.0019,45.23,100,90,12.66
21,Altay,CN,2021-05-24 03:22:30,47.8667,88.1167,69.58,30,0,4.79
22,Ilulissat,GL,2021-05-24 03:22:30,69.2167,-51.1,37.42,48,75,24.16
23,Kapaa,US,2021-05-24 03:21:46,22.0752,-159.319,80.92,73,75,1.01
24,Cherskiy,RU,2021-05-24 03:22:30,68.75,161.3,49.69,43,11,7.23
25,Gat,IL,2021-05-24 03:20:03,31.61,34.7642,67.41,82,14,4.09
26,Ushuaia,AR,2021-05-24 03:19:27,-54.8,-68.3,42.46,81,40,4.61
27,Yumen,CN,2021-05-24 03:22:31,40.2833,97.2,65.53,14,0,10.51
28,Havoysund,NO,2021-05-24 03:22:31,70.9963,24.6622,36.48,59,100,9.51
29,Odweyne,SO,2021-05-24 03:22:31,9.4092,45.064,71.35,64,70,12.95
30,Mana,GF,2021-05-24 03:22:32,5.6592,-53.7767,77.74,92,100,8.88
31,Bathsheba,BB,2021-05-24 03:22:32,13.2167,-59.5167,81.21,79,75,18.54
32,Uryupinsk,RU,2021-05-24 03:22:32,50.8047,42.0138,57.31,81,99,4.63
33,Goderich,CA,2021-05-24 03:22:33,43.7501,-81.7165,59.92,58,100,10.36
