City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,2021-05-24 02:03:08,-54.8,-68.3,39.7,98,100,3.8,overcast clouds
1,Dryden,CA,2021-05-24 02:03:53,49.7833,-92.7503,45.93,63,100,7.09,overcast clouds
2,Fortuna,US,2021-05-24 02:03:53,40.5982,-124.1573,59.94,62,1,1.99,clear sky
3,Komsomolskiy,UZ,2021-05-24 02:03:53,40.4272,71.7189,71.02,52,100,6.91,overcast clouds
4,Castro,BR,2021-05-24 02:00:56,-24.7911,-50.0119,47.39,61,0,8.68,clear sky
5,Bluff,NZ,2021-05-24 02:01:08,-46.6,168.3333,49.8,63,99,8.25,overcast clouds
6,Yarada,IN,2021-05-24 02:03:54,17.65,83.2667,86.32,51,90,4.43,overcast clouds
7,Busselton,AU,2021-05-24 02:03:54,-33.65,115.3333,51.04,62,86,16.64,overcast clouds
8,Bethel,US,2021-05-24 02:03:54,41.3712,-73.414,73.09,67,75,17.27,broken clouds
9,Aginskoye,RU,2021-05-24 02:03:55,51.1,114.53,45.79,43,99,19.66,overcast clouds
10,Albany,US,2021-05-24 02:03:55,42.6001,-73.9662,60.46,69,92,8.75,overcast clouds
11,Bosaso,SO,2021-05-24 02:02:17,11.2842,49.1816,86.25,60,73,5.5,broken clouds
12,Auki,SB,2021-05-24 02:03:56,-8.7676,160.7034,80.91,74,100,4.83,overcast clouds
13,Yellowknife,CA,2021-05-24 02:01:27,62.456,-114.3525,55.33,68,25,5.99,scattered clouds
14,Cidreira,BR,2021-05-24 02:03:57,-30.1811,-50.2056,57.22,68,77,26.24,broken clouds
15,Qaanaaq,GL,2021-05-24 02:03:57,77.484,-69.3632,22.68,77,2,5.03,clear sky
16,Avarua,CK,2021-05-24 02:03:57,-21.2078,-159.775,80.65,89,90,12.66,light rain
17,Tessalit,ML,2021-05-24 02:03:58,20.1986,1.0114,93.87,17,67,7.25,broken clouds
18,Hasaki,JP,2021-05-24 02:03:58,35.7333,140.8333,82.18,74,100,6.6,overcast clouds
19,Iqaluit,CA,2021-05-24 02:03:58,63.7506,-68.5145,17.33,67,75,13.0,broken clouds
20,Broken Hill,AU,2021-05-24 02:03:59,-31.95,141.4333,70.61,38,100,22.84,overcast clouds
21,Barrow,US,2021-05-24 02:03:59,71.2906,-156.7887,32.02,80,90,19.57,overcast clouds
22,Myrtle Beach,US,2021-05-24 01:59:48,33.6891,-78.8867,78.12,76,71,1.01,broken clouds
23,Rikitea,PF,2021-05-24 02:03:59,-23.1203,-134.9692,74.95,74,49,5.03,scattered clouds
24,Aklavik,CA,2021-05-24 02:04:00,68.2191,-135.0107,37.92,86,100,18.9,overcast clouds
25,Arraial Do Cabo,BR,2021-05-24 02:04:00,-22.9661,-42.0278,74.75,79,100,7.52,light rain
26,Dikson,RU,2021-05-24 02:04:00,73.5069,80.5464,27.63,88,50,14.32,scattered clouds
27,Manokwari,ID,2021-05-24 02:04:01,-0.8667,134.0833,81.48,81,100,8.1,overcast clouds
28,Mataura,NZ,2021-05-24 02:04:01,-46.1927,168.8643,49.48,69,43,2.51,scattered clouds
29,Aseri,EE,2021-05-24 02:04:01,59.4506,26.8675,46.0,84,95,14.97,overcast clouds
30,Chuy,UY,2021-05-24 02:04:02,-33.6971,-53.4616,55.0,86,100,20.83,overcast clouds
31,Puerto Ayora,EC,2021-05-24 02:04:02,-0.7393,-90.3518,74.55,90,24,3.0,few clouds
32,Laguna,US,2021-05-24 02:04:02,38.421,-121.4238,80.94,35,1,4.0,clear sky
33,Severnoye,RU,2021-05-24 02:04:03,56.3491,78.3619,62.55,77,100,7.0,overcast clouds
34,Punta Arenas,CL,2021-05-24 02:04:03,-53.15,-70.9167,42.12,68,40,12.59,scattered clouds
35,Carnarvon,AU,2021-05-24 02:04:03,-24.8667,113.6333,68.07,73,65,10.36,broken clouds
36,Bereda,ES,2021-05-24 02:04:04,43.2686,-7.5406,54.41,98,100,6.2,overcast clouds
37,Barcelos,PT,2021-05-24 01:59:04,41.5388,-8.6151,57.34,96,100,9.71,overcast clouds
38,Hithadhoo,MV,2021-05-24 02:04:04,-0.6,73.0833,83.97,69,86,10.4,overcast clouds
39,Bethanien,NA,2021-05-24 02:04:04,-26.502,17.1583,60.01,27,1,7.02,clear sky
40,Jamestown,US,2021-05-24 02:04:05,42.097,-79.2353,69.12,88,90,8.05,overcast clouds
41,Can,TR,2021-05-24 02:04:05,40.0333,27.0524,61.29,63,88,1.99,overcast clouds
42,Aripuana,BR,2021-05-24 02:04:05,-9.1667,-60.6333,72.86,97,75,1.25,broken clouds
43,Vaini,TO,2021-05-24 02:04:05,-21.2,-175.2,75.36,83,75,11.5,light rain
44,Thompson,CA,2021-05-24 02:04:06,55.7435,-97.8558,55.27,54,3,7.31,clear sky
45,Port Alfred,ZA,2021-05-24 02:04:06,-33.5906,26.891,64.74,30,9,9.33,clear sky
46,Saint-Philippe,RE,2021-05-24 02:04:06,-21.3585,55.7679,67.59,83,94,12.08,light rain
47,Gat,IL,2021-05-24 02:04:07,31.61,34.7642,67.41,83,18,3.0,few clouds
48,Bredasdorp,ZA,2021-05-24 02:04:07,-34.5322,20.0403,56.28,41,100,6.98,overcast clouds
49,Saldanha,ZA,2021-05-24 02:04:07,-33.0117,17.9442,61.36,61,91,11.56,overcast clouds
50,Puerto Madero,MX,2021-05-24 02:04:08,14.7208,-92.4215,80.8,94,20,0.0,few clouds
51,Villa Bruzual,VE,2021-05-24 02:04:08,9.3328,-69.1208,80.87,73,100,1.54,overcast clouds
52,Kaitangata,NZ,2021-05-24 02:04:08,-46.2817,169.8464,47.93,74,100,4.21,overcast clouds
53,Yerbogachen,RU,2021-05-24 02:04:09,61.2767,108.0108,53.38,32,4,6.62,clear sky
54,Hilo,US,2021-05-24 02:04:09,19.7297,-155.09,85.28,80,75,9.22,light rain
55,Belmonte,BR,2021-05-24 02:04:09,-15.8631,-38.8828,75.7,91,12,9.69,few clouds
56,Torbay,CA,2021-05-24 02:04:10,47.6666,-52.7314,39.67,94,100,5.99,light rain
57,Hobart,AU,2021-05-24 02:04:10,-42.8794,147.3294,59.22,67,75,3.0,broken clouds
58,Yar-Sale,RU,2021-05-24 02:04:10,66.8333,70.8333,38.5,53,36,28.74,scattered clouds
59,Tuktoyaktuk,CA,2021-05-24 02:04:11,69.4541,-133.0374,33.64,89,14,8.28,few clouds
60,Pogradec,AL,2021-05-24 02:04:11,40.9025,20.6525,60.64,59,24,0.76,few clouds
61,Ellisras,ZA,2021-05-24 02:04:11,-23.6649,27.7443,49.46,85,0,2.42,clear sky
62,Tasiilaq,GL,2021-05-24 02:04:12,65.6145,-37.6368,32.16,95,100,17.47,light snow
63,Senanga,ZM,2021-05-24 02:04:12,-16.1167,23.2667,53.13,66,0,5.35,clear sky
64,Tual,ID,2021-05-24 02:04:12,-5.6667,132.75,78.58,91,100,27.65,moderate rain
65,Tongzi,CN,2021-05-24 02:04:13,28.7829,105.0877,62.58,89,100,2.35,overcast clouds
66,Biltine,TD,2021-05-24 02:04:13,14.5333,20.9167,81.82,14,46,9.04,scattered clouds
67,Khatanga,RU,2021-05-24 02:04:13,71.9667,102.5,39.56,96,100,3.89,overcast clouds
68,Lavrentiya,RU,2021-05-24 02:04:14,65.5833,-171.0,33.31,94,69,6.71,broken clouds
69,Kochi,IN,2021-05-24 02:04:14,9.9399,76.2602,78.78,80,98,4.81,overcast clouds
70,Tateyama,JP,2021-05-24 02:04:14,34.9833,139.8667,80.15,70,95,6.73,overcast clouds
71,Alugan,PH,2021-05-24 02:04:14,12.2188,125.4808,85.77,66,10,4.81,clear sky
72,Yining,CN,2021-05-24 02:04:15,29.0361,114.5636,75.25,71,69,1.19,broken clouds
73,Pacific Grove,US,2021-05-24 02:04:15,36.6177,-121.9166,68.61,81,40,3.0,scattered clouds
74,Beyneu,KZ,2021-05-24 02:04:15,45.3167,55.2,77.94,23,0,12.97,clear sky
75,Airai,TL,2021-05-24 02:04:16,-8.9266,125.4092,72.57,46,46,2.33,scattered clouds
76,Samarai,PG,2021-05-24 02:04:16,-10.6167,150.6667,81.21,66,96,15.66,overcast clouds
77,Sao Joao Da Barra,BR,2021-05-24 02:04:16,-21.6403,-41.0511,75.6,77,99,7.58,overcast clouds
78,Sistranda,NO,2021-05-24 02:04:16,63.7256,8.834,51.91,84,91,4.29,overcast clouds
79,Lagoa,PT,2021-05-24 02:04:17,39.05,-27.9833,60.15,65,100,6.76,overcast clouds
80,Salisbury,GB,2021-05-24 02:04:17,51.0693,-1.7957,47.48,95,52,8.41,broken clouds
